PlantLocation,Longitude,Latitude,Alternative,Capacity,NPV_EUR,CAPEX_EUR,OPEX_EUR,Feed_Trans
BF,12.18504707800676,48.408766583197256,Biogas,60000000.0,76.98222115487948,34.322962612801646,6.734057529883818,5.219677537611889
CB,10.196167284796529,49.90308431558692,Biogas,60000000.0,63.39649138681052,34.32296261280168,6.734057529883825,5.607570174147445
BR,10.672329714502627,48.00424998356873,Biogas,60000000.0,57.42243164341183,34.32296261280168,6.734057529883825,6.158282857621672
AK,13.178484443289442,48.657968473893504,Biogas,60000000.0,52.97815792687354,34.322962612801646,6.734057529883818,5.943614357488088
L,11.916356932624076,47.94474094124833,Biogas,60000000.0,51.847963310534496,34.322962612801646,6.734057529883818,6.400265149543444
E,12.711153487472693,49.043291155657,Upgrading,60000000.0,38.7372647108499,42.69592899836637,8.423929360690103,7.280888108306999
BB,11.004837093947604,48.49041834352908,Upgrading,60000000.0,35.82482602435681,42.69592899836637,8.408005696920384,7.307006223954322
AU,12.652150055506311,48.29631554432875,Upgrading,60000000.0,30.424846008391114,42.69592899836637,8.409180585478856,7.48578737216896
BO,11.391204474836565,49.19411282487568,Upgrading,60000000.0,25.69528371455354,42.69592899836638,8.395201305748072,6.962696763716925
AV,11.523129927586671,50.07135494640782,Upgrading,60000000.0,19.86586420452511,42.69592899836637,8.400771696204274,7.206306855638624
CG,11.026734645777625,47.82653032138388,Upgrading,60000000.0,18.00312836300489,42.69592899836637,8.422562578657324,7.813499713765317
AJ,12.317409973370095,47.89295626814062,Upgrading,60000000.0,9.096321289039025,42.69592899836637,8.404178222411698,7.640440772073998
BC,12.342017242237654,49.684025653478464,Upgrading,46282994.07956209,8.503135957760762,35.89272302357253,6.72195762689645,5.58362704084472
X,10.31146716391925,47.89632029131894,Upgrading,53340243.74689519,6.850816991962432,39.464099070987224,7.595137538141747,7.109134760343336
AL,10.448978888108046,49.492546127430096,Upgrading,30839891.84726785,2.508077350971078,27.373366122713783,4.722163168224027,3.8453306765973503
AR,9.780919322806431,50.19509843046476,Upgrading,23391446.300227612,1.6097044183488904,22.75830344941084,3.7139392000469673,2.763816462648631
