SupplyNode,PlantLocation,Feedstock,FlowTons
DE_09161000,A,horse_man,3340.0
DE_09174111,A,pig_man,162.0
DE_09174131,A,pig_man,197.0
DE_09174147,A,pig_man,40.8
DE_09176111,A,clover_alfalfa_grass,1730.0
DE_09176111,A,horse_man,666.0
DE_09176111,A,cattle_slu,3000.0
DE_09176111,A,cattle_man,724.0
DE_09176111,A,pig_man,151.0
DE_09176112,A,horse_man,357.0
DE_09176112,A,pig_man,132.0
DE_09176114,A,horse_man,292.0
DE_09176114,A,pig_man,497.0
DE_09176116,A,cattle_man,46.1
DE_09176118,A,horse_man,27.0
DE_09176118,A,pig_man,107.0
DE_09176120,A,horse_man,273.0
DE_09176120,A,pig_man,176.0
DE_09176121,A,clover_alfalfa_grass,2740.0
DE_09176121,A,horse_man,201.0
DE_09176121,A,cattle_slu,1530.0
DE_09176121,A,cattle_man,236.0
DE_09176121,A,pig_man,44.5
DE_09176122,A,cattle_man,817.0
DE_09176123,A,clover_alfalfa_grass,1500.0
DE_09176123,A,horse_man,174.0
DE_09176123,A,cattle_slu,9550.0
DE_09176123,A,cattle_man,2410.0
DE_09176123,A,pig_man,173.0
DE_09176124,A,cattle_man,589.0
DE_09176126,A,cattle_man,338.0
DE_09176129,A,horse_man,257.0
DE_09176129,A,pig_man,140.0
DE_09176132,A,horse_man,267.0
DE_09176132,A,cattle_man,101.0
DE_09176137,A,horse_man,62.3
DE_09176137,A,cattle_man,1690.0
DE_09176137,A,pig_man,29.7
DE_09176138,A,horse_man,86.7
DE_09176138,A,cattle_man,1890.0
DE_09176138,A,pig_man,516.0
DE_09176139,A,horse_man,1700.0
DE_09176143,A,horse_man,169.0
DE_09176147,A,horse_man,168.0
DE_09176148,A,horse_man,803.0
DE_09176148,A,cattle_man,3640.0
DE_09176148,A,pig_man,23.5
DE_09176149,A,horse_man,188.0
DE_09176149,A,cattle_man,1040.0
DE_09176153,A,pig_man,311.0
DE_09176155,A,clover_alfalfa_grass,5290.0
DE_09176155,A,horse_man,281.0
DE_09176155,A,cattle_slu,6790.0
DE_09176155,A,cattle_man,1780.0
DE_09176155,A,pig_man,206.0
DE_09176160,A,clover_alfalfa_grass,2780.0
DE_09176160,A,horse_man,929.0
DE_09176160,A,cattle_slu,10200.0
DE_09176160,A,cattle_man,2050.0
DE_09176160,A,pig_man,321.0
DE_09176164,A,horse_man,171.0
DE_09176164,A,cattle_man,3510.0
DE_09176164,A,pig_man,480.0
DE_09176165,A,horse_man,28.6
DE_09176165,A,cattle_man,1240.0
DE_09176165,A,pig_man,58.6
DE_09176166,A,horse_man,208.0
DE_09176166,A,cattle_slu,2480.964121321136
DE_09176166,A,cattle_man,1960.0
DE_09176167,A,cattle_man,231.0
DE_09178115,A,pig_man,33.4
DE_09178116,A,pig_man,38.0
DE_09178122,A,pig_man,141.0
DE_09178125,A,pig_man,309.0
DE_09178132,A,pig_man,304.0
DE_09178133,A,pig_man,124.0
DE_09178137,A,pig_man,65.2
DE_09178140,A,pig_man,69.6
DE_09178142,A,pig_man,117.0
DE_09178144,A,pig_man,127.0
DE_09178145,A,pig_man,59.7
DE_09178150,A,pig_man,34.9
DE_09178155,A,pig_man,101.0
DE_09178156,A,pig_man,281.0
DE_09185113,A,pig_man,123.0
DE_09185116,A,horse_man,359.0
DE_09185116,A,pig_man,114.0
DE_09185118,A,horse_man,137.0
DE_09185118,A,cattle_man,1000.0
DE_09185123,A,horse_man,118.0
DE_09185123,A,pig_man,112.0
DE_09185125,A,horse_man,282.0
DE_09185125,A,pig_man,93.3
DE_09185127,A,horse_man,218.0
DE_09185127,A,pig_man,220.0
DE_09185131,A,pig_man,88.3
DE_09185139,A,horse_man,412.0
DE_09185140,A,horse_man,466.0
DE_09185140,A,pig_man,78.8
DE_09185143,A,horse_man,551.0
DE_09185143,A,pig_man,141.0
DE_09185149,A,horse_man,343.0
DE_09185149,A,cattle_man,1860.0
DE_09185149,A,pig_man,99.3
DE_09185150,A,horse_man,32.1
DE_09185150,A,cattle_man,604.0
DE_09185150,A,pig_man,32.2
DE_09185153,A,horse_man,765.0
DE_09185153,A,cattle_man,8160.0
DE_09185153,A,pig_man,47.2
DE_09185157,A,horse_man,308.0
DE_09185158,A,horse_man,304.0
DE_09185158,A,pig_man,71.4
DE_09185163,A,horse_man,747.0
DE_09185163,A,pig_man,21.1
DE_09185166,A,horse_man,160.0
DE_09185166,A,pig_man,53.9
DE_09185168,A,horse_man,916.0
DE_09185168,A,pig_man,41.0
DE_09186116,A,horse_man,270.0
DE_09186122,A,pig_man,49.6
DE_09186125,A,pig_man,893.0
DE_09186128,A,horse_man,459.6665086005887
DE_09186130,A,pig_man,199.0
DE_09186132,A,pig_man,105.0
DE_09186137,A,horse_man,752.0
DE_09186143,A,pig_man,384.0
DE_09186146,A,pig_man,56.3
DE_09186147,A,horse_man,1140.0
DE_09186147,A,pig_man,31.7
DE_09186149,A,pig_man,130.0
DE_09186151,A,pig_man,55.7
DE_09186152,A,pig_man,690.0
DE_09186158,A,horse_man,223.0
DE_09186158,A,pig_man,26.0
DE_09186162,A,pig_man,50.2
DE_09273111,A,pig_man,109.0
DE_09273113,A,pig_man,44.7
DE_09273116,A,pig_man,98.4
DE_09273119,A,pig_man,32.9
DE_09273125,A,pig_man,92.0
DE_09273127,A,pig_man,234.0
DE_09273137,A,pig_man,642.0
DE_09273139,A,pig_man,271.0
DE_09273141,A,pig_man,77.8
DE_09273147,A,pig_man,86.1
DE_09273152,A,pig_man,579.0
DE_09273163,A,pig_man,21.6
DE_09273164,A,pig_man,210.0
DE_09273165,A,pig_man,1220.0
