PlantLocation,Alternative,Capacity,Omega,N_CH4,CO2_Production,Revenue,Cost,Capex,GHG,FLH,PlantLatitude,PlantLongitude,EEG_Revenue,Spot_Revenue,Heat_Revenue,Bonus
A,Upgrading_tech1,3500000,3196347.03196347,2041546.4766245503,1154800.5553389196,610626.551158403,728268.1061053561,6460727.558650183,852923.1666580575,7999.999999999998,48.51501613591057,12.694976581127891,0,0,0,0
B,Upgrading_tech1,3500000,3196347.03196347,2041546.4766245503,1154800.5553389196,610626.551158403,728268.1061053561,6460727.558650183,852923.1666580575,7999.999999999998,49.90058800674039,10.226122810368738,0,0,0,0
C,Upgrading_tech1,3500000,3196347.03196347,1968062.3574842436,1228284.6744792263,588647.4511235373,724593.9001483409,6460727.558650183,822222.759729357,7999.999999999998,47.94437016360578,11.012599917609888,0,0,0,0
D,Upgrading_tech1,3500000,3196347.03196347,2039128.1830585764,1157218.8489048935,609903.2395528202,728147.1914270575,6460727.558650183,851912.8450073752,7999.999999999998,49.75946432071933,11.850161123164506,0,0,0,0
E,Upgrading_tech1,3500000,3196347.03196347,2041338.3033443424,1155008.7286191275,610564.2865302928,728257.6974413458,6460727.558650183,852836.1954255132,7999.999999999998,48.851314873622464,11.075023667614053,0,0,0,0
