PlantLocation,Longitude,Latitude,Alternative,Capacity,NPV_EUR,IRR,CAPEX_EUR,OPEX_EUR,Feed_Trans_Cost
E,12.012979763620333,48.20684696854946,Upgrading_tech1,60000000.0,98.38204571643593,0.2107769759452025,43.69592899836637,8.493675505307287,5.888747821485383
J,10.437869887108333,47.704819746780906,Upgrading_tech1,60000000.0,77.10037893942285,0.17769151352729473,43.69592899836637,8.439886651654342,6.676150811363004
G,12.570237543965584,47.93100019401797,Upgrading_tech1,60000000.0,69.02189274709383,0.16492272474377256,43.69592899836637,8.432488444975554,7.111060227735471
C,12.256253982579375,49.28272065881865,Upgrading_tech1,60000000.0,58.323827760185075,0.14776086615682615,43.69592899836637,8.457143878823063,8.070380637217754
K,11.34184774305326,47.79827729901043,Upgrading_tech1,60000000.0,53.33886907555142,0.13964170069203452,43.69592899836637,8.441322790025955,8.216877974232123
A,10.426031180937702,49.76345010396675,Upgrading_tech1,60000000.0,42.59598887954103,0.12180442925462076,43.69592899836637,8.428680779440281,7.654621037190455
I,13.304323733731383,48.591362333233874,Upgrading_tech1,60000000.0,41.911903403644196,0.12065014892704773,43.69592899836637,8.415968334522995,7.709817267781052
T,10.49206911072586,48.25246076615605,Upgrading_tech1,60000000.0,37.425910004366834,0.11301676068651001,43.69592899836637,8.429906130041562,8.13719489345597
S,12.518684972280344,48.58883272838263,FlexEEG_biogas,60000000.0,26.907651371418332,0.10754915078358884,34.32296261280164,6.734057529883816,5.903096733501698
D,11.29787629540125,48.43108917943932,FlexEEG_biogas,60000000.0,23.359954966401794,0.09964101102970124,34.32296261280164,6.734057529883816,6.150802440548966
F,11.84761918143194,50.12888374474623,Upgrading_tech1,50403620.181651875,25.146931568752315,0.0968731718790723,38.99449956863911,7.239477935055463,7.014180520892827
B,11.74633195740246,48.850419897877885,FlexEEG_biogas,60000000.0,20.65524717871765,0.09350622651252571,34.32296261280164,6.734057529883816,6.294682976128261
O,10.115536474374528,50.23689430528555,FlexEEG_biogas,60000000.0,14.955416963052507,0.08022220136735947,34.32296261280164,6.734057529883816,7.027466443508363
R,12.948598803210228,48.9859952261635,FlexEEG_biogas,60000000.0,9.440241355210404,0.06680103032409845,34.322962612801675,6.734057529883818,7.260123117138118
