GISCO_ID,Cluster_ID,Centroid_Lat,Centroid_Lon,Biogas_Potential_m3
DE_09678168,CLUSTER_49,50.10312972670829,10.145234307576704,1265261.82563832
DE_09678170,CLUSTER_154,49.96396842466031,10.213366048343266,459547.1989801243
DE_09678174,CLUSTER_247,50.077237484370464,10.349420318682776,1637846.3651885784
DE_09678175,CLUSTER_154,49.9207445112224,10.133972243501828,466213.7580700642
DE_09678176,CLUSTER_320,49.99095841628735,10.257526751463931,195379.7543653049
DE_09678178,CLUSTER_320,50.03934763736265,10.262557237437203,125920.2984034236
DE_09678181,CLUSTER_491,50.18465625838802,10.384853325338586,1842463.9802785201
DE_09678183,CLUSTER_24,49.942888287064825,10.343911861259494,1088276.5808482089
DE_09678186,CLUSTER_247,50.12166383521292,10.283744092671762,1435048.7586376558
DE_09678190,CLUSTER_487,49.95608985410253,10.1409225735793,1017322.1276048477
DE_09678192,CLUSTER_236,50.06830109743546,10.023978248590696,1855340.622965938
DE_09678193,CLUSTER_487,49.990906300139,10.083621287600264,2309388.543844355
DE_09678196,CLUSTER_154,49.921234690016256,10.1727343237871,135570.1608924648
DE_09678451,CLUSTER_38,49.88647113769692,10.459677945122198,5056.8901013358
DE_09678453,CLUSTER_38,49.934480029199214,10.47202788473439,750.9441856644
DE_09678454,CLUSTER_38,49.89289442694407,10.436898403290954,343.51702110179997
DE_09678455,CLUSTER_38,49.88075762332515,10.432175925663758,1549.8209789244
DE_09678456,CLUSTER_38,49.90370072668834,10.460793286455775,1477.9220675310003
DE_09678457,CLUSTER_38,49.90957664202781,10.492842968759218,1852.7977420757202
DE_09679114,CLUSTER_361,49.54742103837284,10.0435403350263,750741.9269312483
DE_09679117,CLUSTER_134,49.90591211345579,10.085752468661331,916238.5427603677
DE_09679118,CLUSTER_494,49.508362671649856,10.016096613519602,525143.5995608281
DE_09679122,CLUSTER_87,49.590409695577655,9.881837469052504,1647446.7361422894
DE_09679124,CLUSTER_16,49.72467063973377,10.012440996920317,74607.4285184798
DE_09679126,CLUSTER_332,49.760030468950646,9.82594403469144,154739.28334392273
DE_09679128,CLUSTER_139,49.85871180108362,9.840530303772596,35432.776067110004
DE_09679130,CLUSTER_134,49.83469559802621,10.014769650400792,653610.1872949653
DE_09679131,CLUSTER_336,49.67933882757773,10.101788572697034,313655.21211872244
DE_09679134,CLUSTER_87,49.627373473512975,10.001066999751892,1648610.246417016
DE_09679135,CLUSTER_361,49.57382478821616,10.034614008672426,873044.3814053698
DE_09679136,CLUSTER_16,49.77984583797699,9.99973754332732,107175.63753280893
DE_09679137,CLUSTER_246,49.6816866861476,9.88883436622482,480468.2465213724
DE_09679138,CLUSTER_87,49.64843824579047,9.936055501568974,2594343.8723444724
DE_09679141,CLUSTER_139,49.82161369672936,9.762884024171214,322784.91057415504
DE_09679142,CLUSTER_139,49.87397697550623,9.90285344934964,357276.78356862674
DE_09679143,CLUSTER_134,49.92604987712048,10.025538612532074,791635.032253217
DE_09679144,CLUSTER_251,49.75771949180985,9.704926330283838,560896.960833203
DE_09679146,CLUSTER_332,49.803333918302044,9.814573665804533,469783.1211687762
DE_09679147,CLUSTER_332,49.77673282844405,9.871622102780757,184468.9618278239
DE_09679149,CLUSTER_251,49.77924469300495,9.67236218506586,202926.27813156627
