GISCO_ID,substrat_ENG,nutz_pot_tFM,gem_code,Modified_GEM_CODE,LAU_NAME,Centroid_Lon,Centroid_Lat
CLUSTER_0,beet_leaf,114.0,183134,DE_09183134,Oberneukirchen,12.544889530844427,48.14687911963145
CLUSTER_0,cattle_man,28890.0,171117,DE_09171117,Garching a.d.Alz,12.544889530844427,48.14687911963145
CLUSTER_0,cattle_slu,89880.0,171117,DE_09171117,Garching a.d.Alz,12.544889530844427,48.14687911963145
CLUSTER_0,cereal_str,1472.4,171117,DE_09171117,Garching a.d.Alz,12.544889530844427,48.14687911963145
CLUSTER_0,clover_alfalfa_grass,5319.878000000001,171117,DE_09171117,Garching a.d.Alz,12.544889530844427,48.14687911963145
CLUSTER_0,horse_man,2610.0,171117,DE_09171117,Garching a.d.Alz,12.544889530844427,48.14687911963145
CLUSTER_0,legume_str,690.7,171117,DE_09171117,Garching a.d.Alz,12.544889530844427,48.14687911963145
CLUSTER_0,maize_str,6575.0,171117,DE_09171117,Garching a.d.Alz,12.544889530844427,48.14687911963145
CLUSTER_0,perm_grass,0.359,171117,DE_09171117,Garching a.d.Alz,12.544889530844427,48.14687911963145
CLUSTER_0,pig_man,1695.2,171117,DE_09171117,Garching a.d.Alz,12.544889530844427,48.14687911963145
CLUSTER_0,pig_slu,24610.0,171117,DE_09171117,Garching a.d.Alz,12.544889530844427,48.14687911963145
CLUSTER_0,rape_str,1701.9,171117,DE_09171117,Garching a.d.Alz,12.544889530844427,48.14687911963145
CLUSTER_1,beet_leaf,1232.41,576126,DE_09576126,"Heideck, St",11.112642803283409,49.06879806353022
CLUSTER_1,cattle_man,7654.55,576126,DE_09576126,"Heideck, St",11.112642803283409,49.06879806353022
CLUSTER_1,cattle_slu,47629.0145,576126,DE_09576126,"Heideck, St",11.112642803283409,49.06879806353022
CLUSTER_1,cereal_str,4468.0,576126,DE_09576126,"Heideck, St",11.112642803283409,49.06879806353022
CLUSTER_1,clover_alfalfa_grass,7508.0,576126,DE_09576126,"Heideck, St",11.112642803283409,49.06879806353022
CLUSTER_1,horse_man,642.4,576126,DE_09576126,"Heideck, St",11.112642803283409,49.06879806353022
CLUSTER_1,legume_str,279.7,576126,DE_09576126,"Heideck, St",11.112642803283409,49.06879806353022
CLUSTER_1,maize_str,371.5,576126,DE_09576126,"Heideck, St",11.112642803283409,49.06879806353022
CLUSTER_1,perm_grass,6778.59,576126,DE_09576126,"Heideck, St",11.112642803283409,49.06879806353022
CLUSTER_1,pig_man,381.6,576126,DE_09576126,"Heideck, St",11.112642803283409,49.06879806353022
CLUSTER_1,pig_slu,5573.0,576126,DE_09576126,"Heideck, St",11.112642803283409,49.06879806353022
CLUSTER_1,rape_str,1763.0,576126,DE_09576126,"Heideck, St",11.112642803283409,49.06879806353022
CLUSTER_10,cattle_man,3121.0,671160,DE_09671160,Dammbach,9.43305274917545,49.84368184077012
CLUSTER_10,cattle_slu,4278.1,671160,DE_09671160,Dammbach,9.43305274917545,49.84368184077012
CLUSTER_10,cereal_str,717.65,676118,DE_09676118,Dorfprozelten,9.43305274917545,49.84368184077012
CLUSTER_10,clover_alfalfa_grass,908.308,676124,DE_09676124,Faulbach,9.43305274917545,49.84368184077012
CLUSTER_10,horse_man,1392.2,671160,DE_09671160,Dammbach,9.43305274917545,49.84368184077012
CLUSTER_10,legume_str,66.8,677120,DE_09677120,Bischbrunn,9.43305274917545,49.84368184077012
CLUSTER_10,maize_str,92.1,677120,DE_09677120,Bischbrunn,9.43305274917545,49.84368184077012
CLUSTER_10,perm_grass,5906.8,671160,DE_09671160,Dammbach,9.43305274917545,49.84368184077012
CLUSTER_10,pig_man,15.9693,671160,DE_09671160,Dammbach,9.43305274917545,49.84368184077012
CLUSTER_10,pig_slu,289.46,671160,DE_09671160,Dammbach,9.43305274917545,49.84368184077012
CLUSTER_10,rape_str,247.75,676124,DE_09676124,Faulbach,9.43305274917545,49.84368184077012
CLUSTER_100,beet_leaf,1319.0,177133,DE_09177133,Oberding,11.768499103959345,48.35872396068429
CLUSTER_100,cattle_man,9536.0,177133,DE_09177133,Oberding,11.768499103959345,48.35872396068429
CLUSTER_100,cattle_slu,24810.0,177133,DE_09177133,Oberding,11.768499103959345,48.35872396068429
CLUSTER_100,cereal_str,7309.0,177133,DE_09177133,Oberding,11.768499103959345,48.35872396068429
CLUSTER_100,clover_alfalfa_grass,9101.0,177133,DE_09177133,Oberding,11.768499103959345,48.35872396068429
CLUSTER_100,horse_man,3925.5,177133,DE_09177133,Oberding,11.768499103959345,48.35872396068429
CLUSTER_100,legume_str,592.6,177133,DE_09177133,Oberding,11.768499103959345,48.35872396068429
CLUSTER_100,maize_str,6753.0,177133,DE_09177133,Oberding,11.768499103959345,48.35872396068429
CLUSTER_100,perm_grass,10061.0,177133,DE_09177133,Oberding,11.768499103959345,48.35872396068429
CLUSTER_100,pig_man,69.61,177133,DE_09177133,Oberding,11.768499103959345,48.35872396068429
CLUSTER_100,pig_slu,1610.0,178140,DE_09178140,Marzling,11.768499103959345,48.35872396068429
CLUSTER_100,rape_str,1247.0,177133,DE_09177133,Oberding,11.768499103959345,48.35872396068429
CLUSTER_101,beet_leaf,839.0,779186,DE_09779186,"Monheim, St",10.939004650051722,48.85368121480718
CLUSTER_101,cattle_man,7667.4141,176148,DE_09176148,"Mörnsheim, M",10.939004650051722,48.85368121480718
CLUSTER_101,cattle_slu,32068.0,176148,DE_09176148,"Mörnsheim, M",10.939004650051722,48.85368121480718
