GISCO_ID,substrat_ENG,nutz_pot_tFM,gem_code,Modified_GEM_CODE,LAU_NAME,Centroid_Lon,Centroid_Lat
CLUSTER_0,beet_leaf,1875.9,471220,DE_09471220,"Schlüsselfeld, St",10.604589136762787,49.73736656934454
CLUSTER_0,cattle_man,2928.51287,471220,DE_09471220,"Schlüsselfeld, St",10.604589136762787,49.73736656934454
CLUSTER_0,cattle_slu,21630.0,471220,DE_09471220,"Schlüsselfeld, St",10.604589136762787,49.73736656934454
CLUSTER_0,cereal_str,5364.0,471220,DE_09471220,"Schlüsselfeld, St",10.604589136762787,49.73736656934454
CLUSTER_0,clover_alfalfa_grass,5552.0,471220,DE_09471220,"Schlüsselfeld, St",10.604589136762787,49.73736656934454
CLUSTER_0,horse_man,747.4,471220,DE_09471220,"Schlüsselfeld, St",10.604589136762787,49.73736656934454
CLUSTER_0,legume_str,485.4,471220,DE_09471220,"Schlüsselfeld, St",10.604589136762787,49.73736656934454
CLUSTER_0,maize_str,455.8,471220,DE_09471220,"Schlüsselfeld, St",10.604589136762787,49.73736656934454
CLUSTER_0,perm_grass,7553.0,471220,DE_09471220,"Schlüsselfeld, St",10.604589136762787,49.73736656934454
CLUSTER_0,pig_man,222.68,471220,DE_09471220,"Schlüsselfeld, St",10.604589136762787,49.73736656934454
CLUSTER_0,pig_slu,3354.6,471220,DE_09471220,"Schlüsselfeld, St",10.604589136762787,49.73736656934454
CLUSTER_0,rape_str,1516.0,471220,DE_09471220,"Schlüsselfeld, St",10.604589136762787,49.73736656934454
CLUSTER_1,beet_leaf,417.0,778134,DE_09778134,Eppishausen,10.56863941497915,48.21568354300271
CLUSTER_1,cattle_man,13540.0,772168,DE_09772168,Langenneufnach,10.56863941497915,48.21568354300271
CLUSTER_1,cattle_slu,79080.0,772168,DE_09772168,Langenneufnach,10.56863941497915,48.21568354300271
CLUSTER_1,cereal_str,322.4129,772168,DE_09772168,Langenneufnach,10.56863941497915,48.21568354300271
CLUSTER_1,clover_alfalfa_grass,1875.6,772168,DE_09772168,Langenneufnach,10.56863941497915,48.21568354300271
CLUSTER_1,horse_man,1000.06,772168,DE_09772168,Langenneufnach,10.56863941497915,48.21568354300271
CLUSTER_1,legume_str,187.9,774166,DE_09774166,Aichen,10.56863941497915,48.21568354300271
CLUSTER_1,maize_str,130.3155,772168,DE_09772168,Langenneufnach,10.56863941497915,48.21568354300271
CLUSTER_1,perm_grass,8246.0,772168,DE_09772168,Langenneufnach,10.56863941497915,48.21568354300271
CLUSTER_1,pig_man,1.6660327,772168,DE_09772168,Langenneufnach,10.56863941497915,48.21568354300271
CLUSTER_1,pig_slu,29.7,772168,DE_09772168,Langenneufnach,10.56863941497915,48.21568354300271
CLUSTER_1,rape_str,148.0,778134,DE_09778134,Eppishausen,10.56863941497915,48.21568354300271
CLUSTER_10,beet_leaf,5962.1,779126,DE_09779126,Buchdorf,10.87858497223167,48.7737550366473
CLUSTER_10,cattle_man,2533.2,779126,DE_09779126,Buchdorf,10.87858497223167,48.7737550366473
CLUSTER_10,cattle_slu,12210.0,779129,DE_09779129,Daiting,10.87858497223167,48.7737550366473
CLUSTER_10,cereal_str,5151.0,779126,DE_09779126,Buchdorf,10.87858497223167,48.7737550366473
CLUSTER_10,clover_alfalfa_grass,1477.0,779126,DE_09779126,Buchdorf,10.87858497223167,48.7737550366473
CLUSTER_10,horse_man,750.0,779129,DE_09779129,Daiting,10.87858497223167,48.7737550366473
CLUSTER_10,legume_str,185.1,779126,DE_09779126,Buchdorf,10.87858497223167,48.7737550366473
CLUSTER_10,maize_str,248.73,779126,DE_09779126,Buchdorf,10.87858497223167,48.7737550366473
CLUSTER_10,perm_grass,9441.0,779126,DE_09779126,Buchdorf,10.87858497223167,48.7737550366473
CLUSTER_10,pig_man,232.96,779126,DE_09779126,Buchdorf,10.87858497223167,48.7737550366473
CLUSTER_10,pig_slu,1437.0,779126,DE_09779126,Buchdorf,10.87858497223167,48.7737550366473
CLUSTER_10,rape_str,773.6,779126,DE_09779126,Buchdorf,10.87858497223167,48.7737550366473
CLUSTER_100,cattle_man,17040.0,183114,DE_09183114,"Buchbach, M",12.28741001721999,48.26608221638965
CLUSTER_100,cattle_slu,57380.0,183114,DE_09183114,"Buchbach, M",12.28741001721999,48.26608221638965
CLUSTER_100,cereal_str,811.0,183114,DE_09183114,"Buchbach, M",12.28741001721999,48.26608221638965
CLUSTER_100,clover_alfalfa_grass,2252.0,183114,DE_09183114,"Buchbach, M",12.28741001721999,48.26608221638965
CLUSTER_100,horse_man,831.2,183114,DE_09183114,"Buchbach, M",12.28741001721999,48.26608221638965
CLUSTER_100,legume_str,317.8,183114,DE_09183114,"Buchbach, M",12.28741001721999,48.26608221638965
CLUSTER_100,maize_str,2412.0,183114,DE_09183114,"Buchbach, M",12.28741001721999,48.26608221638965
CLUSTER_100,perm_grass,1744.3963,183114,DE_09183114,"Buchbach, M",12.28741001721999,48.26608221638965
CLUSTER_100,pig_man,487.43,183114,DE_09183114,"Buchbach, M",12.28741001721999,48.26608221638965
CLUSTER_100,pig_slu,7371.33,183114,DE_09183114,"Buchbach, M",12.28741001721999,48.26608221638965
CLUSTER_100,rape_str,633.5,183114,DE_09183114,"Buchbach, M",12.28741001721999,48.26608221638965
CLUSTER_101,cattle_man,10172.0,173112,DE_09173112,"Bad Tölz, St",11.632331024657711,47.77783376137503
CLUSTER_101,cattle_slu,45520.0,173112,DE_09173112,"Bad Tölz, St",11.632331024657711,47.77783376137503
