PlantLocation,SupplyNode,DigestateTons
A,DE_09173126,23.6465459999993
A,DE_09174111,135.84186
A,DE_09174118,106.49331
A,DE_09174122,86.36859
A,DE_09174131,165.19040999999999
A,DE_09174135,51.401889
A,DE_09174137,100.6236
A,DE_09174146,63.476721000000005
A,DE_09175111,117.3942
A,DE_09175121,34.128171
A,DE_09175135,369.79173
A,DE_09177117,88.88418
A,DE_09177130,33.876612
A,DE_09177142,125.54857464354312
A,DE_09178120,60.290307000000006
A,DE_09178145,50.060241000000005
A,DE_09179113,27.923049
A,DE_09179125,117.27144
A,DE_09179131,29.31786
A,DE_09179134,44.777502
A,DE_09179138,122.42538
A,DE_09181115,49.236759
A,DE_09181116,78.234849
A,DE_09181132,48.886298999999994
A,DE_09181138,66.24387
A,DE_09184112,30.606345
A,DE_09184135,59.619482999999995
A,DE_09184137,24.736635
A,DE_09187130,122.42538
A,DE_09188121,1219.6999979999998
A,DE_09188124,666.55017
A,DE_09188126,739.84482
A,DE_09188132,103.4748
A,DE_09188144,1715.9571
A,DE_09188145,1691.0312659356339
A,DE_09190152,30.941757
A,DE_09771111,258.26724
A,DE_09771112,364.76055
A,DE_09771122,530.78949
A,DE_09771129,70.604226
A,DE_09771130,80.666586
A,DE_09771142,267.49107
A,DE_09771145,337.92759
A,DE_09771146,235.62693
A,DE_09771149,58.6971
A,DE_09771158,320.31846
A,DE_09771160,244.01223
A,DE_09771163,109.0089
A,DE_09771165,368.11467
A,DE_09771168,33.625053
A,DE_09771169,46.789974
A,DE_09772121,168.54453
A,DE_09772147,149.25834
A,DE_09772149,27.168371999999998
A,DE_09772160,50.479506
A,DE_09772163,84.69153
A,DE_09772166,114.19722734837512
A,DE_09772171,49.47327
A,DE_09772177,358.89084
A,DE_09772184,37.063026
A,DE_09772186,103.97772
B,DE_09361000,96.43094999999887
B,DE_09363000,150.9354
B,DE_09371116,28.090755
B,DE_09371118,86.36859
B,DE_09371120,76.893201
B,DE_09371121,162.67482
B,DE_09371122,423.45765
B,DE_09371123,65.656899
B,DE_09371126,101.46213
B,DE_09371127,275.87637
B,DE_09371131,35.134406999999996
B,DE_09371132,124.10244
B,DE_09371136,388.23939
B,DE_09371141,105.65478
B,DE_09371144,82.427499
B,DE_09371146,107.33184
B,DE_09371148,176.92983
B,DE_09371150,53.582067
B,DE_09371151,222.21045
B,DE_09372146,39.662468999999994
B,DE_09372153,42.848883
B,DE_09372154,18.866925
B,DE_09372163,140.87304
B,DE_09372165,29.180843999999997
B,DE_09372169,99.78507
B,DE_09372170,37.566143999999994
B,DE_09372171,58.948659
B,DE_09374111,17.60913
B,DE_09374123,34.882848
B,DE_09374128,279.23049
B,DE_09374131,45.364473000000004
B,DE_09374137,45.699885
B,DE_09374144,185.31513
B,DE_09374148,19.28619
B,DE_09374150,128.29509
B,DE_09374159,42.76503
B,DE_09374165,112.36302
B,DE_09374168,298.51668
B,DE_09375119,351.34407
B,DE_09375156,38.656233
B,DE_09375190,36.308349
B,DE_09376112,73.706787
B,DE_09376116,67.333959
B,DE_09376119,215.50221
B,DE_09376122,105.65478
B,DE_09376125,90.56124
B,DE_09376131,23.023143
B,DE_09376133,167.760747
B,DE_09376141,58.948659
B,DE_09376144,664.01874
B,DE_09376146,87.20712
B,DE_09376147,471.25386
B,DE_09376148,337.08906
B,DE_09376149,38.404674
B,DE_09376150,576.68292
B,DE_09376151,67.585518
B,DE_09376153,2416.4923305178727
B,DE_09376159,89.72271
B,DE_09376161,262.45989
B,DE_09376163,50.060241000000005
B,DE_09376169,125.7795
B,DE_09376171,143.38863
B,DE_09376172,114.04008
B,DE_09376173,128.901069
B,DE_09376175,78.570261
B,DE_09376178,29.096991000000003
B,DE_09377112,149.25834
B,DE_09377116,98.94654
B,DE_09377146,1023.0066
B,DE_09377149,296.00109
B,DE_09377154,64.61091566908375
C,DE_09575163,503.9092667531606
C,DE_09663000,204.47107413688542
C,DE_09671111,169.38306
C,DE_09671112,820.90008
C,DE_09671122,202.08573
C,DE_09671124,130.20579
C,DE_09671127,416.465478
C,DE_09671130,37.566143999999994
C,DE_09671141,73.03596300000001
C,DE_09671143,37.817703
C,DE_09671157,53.720667
C,DE_09671159,37.985409
C,DE_09671160,152.62533
C,DE_09672117,53.917479
C,DE_09672121,197.89308
C,DE_09672122,122.42538
C,DE_09672127,21.717927
C,DE_09672139,52.995096000000004
C,DE_09672142,46.873827
C,DE_09672143,64.650663
C,DE_09672155,51.905007
C,DE_09672161,166.02894
C,DE_09676121,368.47404
C,DE_09676123,330.25707
C,DE_09676126,296.62776
C,DE_09676128,389.90556
C,DE_09676133,641.54376
C,DE_09676136,805.19274
C,DE_09676139,46.11915
C,DE_09676141,538.06896
C,DE_09676143,70.855785
C,DE_09676144,253.90426536375065
C,DE_09676145,393.27057
C,DE_09676151,64.147545
C,DE_09676160,813.13947
C,DE_09677114,252.39753
C,DE_09677119,150.9354
C,DE_09677131,37.398438
C,DE_09677148,163.51335
C,DE_09677154,51.905007
C,DE_09677157,53.162802
C,DE_09677178,46.873827
C,DE_09677186,151.77393
C,DE_09677193,93.07683
C,DE_09678123,111.52449
C,DE_09678132,32.031846
C,DE_09678168,47.880063
C,DE_09678186,88.88418
C,DE_09678190,93.07683
C,DE_09678192,22.556456999999998
C,DE_09678193,155.96658
C,DE_09679114,85.53006
C,DE_09679117,53.078948999999994
C,DE_09679118,50.227947
C,DE_09679122,112.36302
C,DE_09679134,170.22159
