PlantLocation,SupplyNode,Feedstock,FlowTons,Distance_km
CL,CLUSTER_344,pig_man,347.5,89.16343489738937
CL,CLUSTER_345,pig_man,131.752025,50.05177306344655
CL,CLUSTER_349,pig_man,105.746,99.46103510642251
CL,CLUSTER_35,pig_man,754.8290000000001,103.14635018161611
CL,CLUSTER_350,horse_man,2875.0,37.68458997011508
CL,CLUSTER_350,pig_man,183.62,37.68458997011508
CL,CLUSTER_352,pig_man,32.1,71.96866816595296
CL,CLUSTER_353,pig_man,473.0,97.40091325671904
CL,CLUSTER_354,pig_man,883.52,46.72108582628094
CL,CLUSTER_355,pig_man,1341.0,62.66879640099857
CL,CLUSTER_363,horse_man,3180.0,40.54159918389066
CL,CLUSTER_363,pig_man,154.91,40.54159918389066
CL,CLUSTER_37,horse_man,943.0,38.96441911765985
CL,CLUSTER_37,pig_man,3353.8,38.96441911765985
CL,CLUSTER_370,pig_man,15.373134,96.6779853760712
CL,CLUSTER_371,horse_man,1280.1,30.89297142202881
CL,CLUSTER_371,pig_man,228.32,30.89297142202881
CL,CLUSTER_376,pig_man,263.4000241,94.71307919401325
CL,CLUSTER_378,cattle_man,31200.0,12.880543555447854
CL,CLUSTER_378,horse_man,1373.0,12.880543555447854
CL,CLUSTER_378,pig_man,297.007,12.880543555447854
CL,CLUSTER_386,horse_man,3289.0,35.37652176679078
CL,CLUSTER_398,horse_man,1395.0,30.295422670173124
CL,CLUSTER_398,pig_man,169.0001898,30.295422670173124
CL,CLUSTER_399,pig_man,646.33,88.05550522345087
CL,CLUSTER_400,pig_man,2588.0,59.82127408351488
CL,CLUSTER_402,pig_man,1540.0,79.75395962992461
CL,CLUSTER_403,cattle_man,9000.0,19.863991937918293
CL,CLUSTER_403,horse_man,1197.0,19.863991937918293
CL,CLUSTER_403,pig_man,782.0,19.863991937918293
CL,CLUSTER_408,pig_man,511.6000000000001,101.61047932368692
CL,CLUSTER_423,cattle_man,22380.0,21.1339032352996
CL,CLUSTER_423,horse_man,1678.0106,21.1339032352996
CL,CLUSTER_423,pig_man,669.519,21.1339032352996
CL,CLUSTER_427,pig_man,799.2,92.54751275841666
CL,CLUSTER_428,pig_man,58.397,100.9527230040304
CL,CLUSTER_43,horse_man,1609.1999999999998,40.78142820867728
CL,CLUSTER_43,pig_man,36.5,40.78142820867728
CL,CLUSTER_431,pig_man,238.34,85.47117697571278
CL,CLUSTER_432,pig_man,80.1,103.43451947085542
CL,CLUSTER_436,pig_man,326.0,60.44708811376293
CL,CLUSTER_441,pig_man,1272.0,49.21984289488917
CL,CLUSTER_447,pig_man,67.14,52.80337036311123
CL,CLUSTER_450,horse_man,963.9,44.55169865074154
CL,CLUSTER_450,pig_man,315.5,44.55169865074154
CL,CLUSTER_453,pig_man,269.0,80.12346754396007
CL,CLUSTER_456,pig_man,30.472,82.90162143918779
CL,CLUSTER_464,pig_man,54.032,77.87512463467147
CL,CLUSTER_466,horse_man,4155.0,32.82334213087295
CL,CLUSTER_466,pig_man,43.27128999999999,32.82334213087295
CL,CLUSTER_469,pig_man,324.0,107.35524579755108
CL,CLUSTER_473,pig_man,510.99999999999994,47.062508731845824
CL,CLUSTER_474,horse_man,1341.0,39.08398863527108
CL,CLUSTER_478,pig_man,35.400000000000006,99.43503341681254
CL,CLUSTER_48,pig_man,1701.4,71.2610900806415
CL,CLUSTER_481,pig_man,527.3,106.1991551132737
CL,CLUSTER_482,cattle_man,16500.0,22.532547572197583
CL,CLUSTER_482,horse_man,1167.3,22.532547572197583
CL,CLUSTER_482,pig_man,28.99635,22.532547572197583
CL,CLUSTER_485,pig_man,19.72,102.35111857332603
CL,CLUSTER_488,pig_man,1185.8,73.2210536614963
CL,CLUSTER_493,pig_man,193.15,46.0818521442777
CL,CLUSTER_495,pig_man,180.446,61.42820418241807
CL,CLUSTER_496,pig_man,687.3,107.491474407747
CL,CLUSTER_498,horse_man,2767.0,31.76997802488679
CL,CLUSTER_499,pig_man,128.13,70.97081032759817
CL,CLUSTER_501,pig_man,1378.0,63.867166382287344
CL,CLUSTER_504,pig_man,442.0,66.87942344300072
CL,CLUSTER_511,pig_man,317.6,102.49180806967544
CL,CLUSTER_513,pig_man,657.0,78.84304353579282
CL,CLUSTER_514,pig_man,13.03,95.79323257458422
CL,CLUSTER_516,pig_man,123.100375,51.24510550467628
CL,CLUSTER_52,pig_man,917.46,79.47639805746161
CL,CLUSTER_523,cattle_man,13260.0,20.16164826308746
CL,CLUSTER_523,horse_man,1417.0,20.16164826308746
CL,CLUSTER_523,pig_man,56.7,20.16164826308746
CL,CLUSTER_534,pig_man,1003.0,93.5564441030086
CL,CLUSTER_537,pig_man,2429.0,72.4696675739527
CL,CLUSTER_541,horse_man,835.5,41.17078840233352
CL,CLUSTER_544,pig_man,15.550000000000002,33.65103663095021
CL,CLUSTER_545,pig_man,227.1,59.443478739581465
CL,CLUSTER_57,horse_man,1420.0,43.126815193390286
CL,CLUSTER_58,horse_man,3739.6,35.30714929465007
CL,CLUSTER_58,pig_man,585.7193,35.30714929465007
CL,CLUSTER_61,pig_man,392.8,56.97464632036381
CL,CLUSTER_62,horse_man,4905.0,43.45424581586732
CL,CLUSTER_62,pig_man,33.995,43.45424581586732
CL,CLUSTER_63,pig_man,79.20406,69.09700513755946
CL,CLUSTER_64,cattle_man,35510.0,17.19583507168288
CL,CLUSTER_64,horse_man,1753.8,17.19583507168288
CL,CLUSTER_64,pig_man,1190.4,17.19583507168288
CL,CLUSTER_68,pig_man,1241.4,72.02921583440452
CL,CLUSTER_69,cattle_man,40940.0,9.879029337031714
CL,CLUSTER_69,cattle_slu,113663.01975938506,9.879029337031714
CL,CLUSTER_69,horse_man,2441.2,9.879029337031714
CL,CLUSTER_69,pig_man,1247.43,9.879029337031714
CL,CLUSTER_70,pig_man,751.0,56.95352859876308
CL,CLUSTER_71,horse_man,2948.9,41.36119140806012
CL,CLUSTER_71,pig_man,226.348,41.36119140806012
CL,CLUSTER_73,pig_man,3455.0,52.43030597163041
CL,CLUSTER_79,pig_man,1322.00245,85.58913935819467
CL,CLUSTER_8,pig_man,13.2831,51.86723083410831
