PlantID,SupplyCluster,Feedstock,Quantity_t,Distance_km
A,CLUSTER_134,pig_man,1021.56,52.52460193371387
A,CLUSTER_138,cattle_man,10203.0,43.46706373482617
A,CLUSTER_138,horse_man,665.1,43.46706373482617
A,CLUSTER_138,pig_man,1203.8,43.46706373482617
A,CLUSTER_139,horse_man,980.3,57.9532424806616
A,CLUSTER_139,pig_man,42.67,57.9532424806616
A,CLUSTER_140,pig_man,765.7,99.8627587021631
A,CLUSTER_141,horse_man,2815.0,58.200844746615296
A,CLUSTER_141,pig_man,111.971,58.200844746615296
A,CLUSTER_142,cattle_man,32190.000000000004,42.69115950409003
A,CLUSTER_142,horse_man,1981.9999999999998,42.69115950409003
A,CLUSTER_142,pig_man,67.2671,42.69115950409003
A,CLUSTER_143,horse_man,1329.0,70.03658786951121
A,CLUSTER_143,pig_man,52.20089,70.03658786951121
A,CLUSTER_150,pig_man,605.1,80.99074893197539
A,CLUSTER_151,horse_man,5352.0,65.11017742789038
A,CLUSTER_151,pig_man,33.274,65.11017742789038
A,CLUSTER_155,horse_man,1141.3,55.94032569847398
A,CLUSTER_155,pig_man,1243.7,55.94032569847398
A,CLUSTER_156,horse_man,1144.7,74.54389597794322
A,CLUSTER_156,pig_man,137.8229,74.54389597794322
A,CLUSTER_157,cattle_man,22880.0,18.1465021011822
A,CLUSTER_157,horse_man,3454.0,18.1465021011822
A,CLUSTER_158,cattle_man,792.0,42.69645755301647
A,CLUSTER_158,horse_man,253.79999999999998,42.69645755301647
A,CLUSTER_159,cattle_man,8440.0,21.17759140427877
A,CLUSTER_159,horse_man,2721.0,21.17759140427877
A,CLUSTER_159,pig_man,3550.315,21.17759140427877
A,CLUSTER_163,cattle_man,10520.0,35.13848935978238
A,CLUSTER_163,horse_man,1805.0,35.13848935978238
A,CLUSTER_164,cattle_man,5420.0,43.13989556276299
A,CLUSTER_164,horse_man,1264.0,43.13989556276299
A,CLUSTER_164,pig_man,46.635000000000005,43.13989556276299
A,CLUSTER_167,horse_man,1062.4,61.49482134151796
A,CLUSTER_167,pig_man,722.3,61.49482134151796
A,CLUSTER_169,horse_man,1079.5,69.37043482576712
A,CLUSTER_169,pig_man,332.076,69.37043482576712
A,CLUSTER_171,cattle_man,11040.0,38.71693091215494
A,CLUSTER_171,horse_man,1981.0000000000002,38.71693091215494
A,CLUSTER_171,pig_man,887.0,38.71693091215494
A,CLUSTER_173,pig_man,64.52416,139.58697985904985
A,CLUSTER_177,horse_man,285.4,59.60311954650496
A,CLUSTER_177,pig_man,779.21,59.60311954650496
A,CLUSTER_181,horse_man,824.1,73.09380917056373
A,CLUSTER_181,pig_man,1482.4,73.09380917056373
A,CLUSTER_182,cattle_man,9590.0,23.481688814582736
A,CLUSTER_182,horse_man,2035.0,23.481688814582736
A,CLUSTER_182,pig_man,1527.0,23.481688814582736
A,CLUSTER_185,cattle_man,4461.0,41.63722877627325
A,CLUSTER_185,horse_man,786.4,41.63722877627325
A,CLUSTER_185,pig_man,183.43,41.63722877627325
A,CLUSTER_187,cattle_man,4002.9999999999995,18.461802228985466
