PlantLocation,Longitude,Latitude,Alternative,Capacity,NPV_EUR,IRR,CAPEX_EUR,OPEX_EUR,Feed_Trans_Cost
Plant_6,12.248505401274398,47.992009612728886,Upgrading_tech1,60000000.0,98.31435192318884,0.21067271161216805,43.69592899836637,8.48354809962104,5.779484053144106
Plant_1,10.815045642890134,47.79568973952001,Upgrading_tech1,60000000.0,81.95256713724092,0.18529736214333403,43.69592899836637,8.44649045524377,6.433085898949639
Plant_0,12.173113158736982,49.36540711748482,Upgrading_tech1,60000000.0,62.83816433904337,0.15504263761820125,43.69592899836637,8.468303863955049,7.927512071650915
Plant_3,13.020522253768675,48.69656046428536,Upgrading_tech1,60000000.0,47.614985481412724,0.13020185975949383,43.69592899836637,8.425238289322255,7.983705384667677
Plant_8,10.694058178403104,48.46948197036471,Upgrading_tech1,60000000.0,40.4250832255974,0.11813275072284268,43.69592899836637,8.42989642656807,8.534475482873233
Plant_4,11.786643148488452,50.042802420614336,Upgrading_tech1,59457575.02458631,32.259416763897136,0.10441233043921128,43.43386198322856,8.35673068669924,8.343174999598721
Plant_5,11.75793594686171,48.672659154013765,FlexEEG_biogas,60000000.0,22.756163455217468,0.0982798946293939,34.32296261280164,6.734057529883816,6.120376912122328
Plant_7,9.743524666575228,49.944107797485614,FlexEEG_biogas,60000000.0,21.39828905029656,0.09520141949096494,34.32296261280164,6.734057529883816,6.580237436300614
Plant_2,10.786171507133073,49.2850393695521,Upgrading_tech1,43354087.02466245,13.571671419125721,0.07595207137795112,35.36271699364957,6.344108399117248,5.990096990747508
Plant_9,10.708627622109992,50.00866636569815,FlexEEG_biogas,60000000.0,10.930363748187133,0.07049104289656638,34.322962612801675,6.734057529883818,7.496984317380578
