PlantLocation,Longitude,Latitude,Alternative,Capacity,NPV_EUR,CAPEX_EUR,OPEX_EUR,Methane,Feed_Trans_Cost,IRR
E,12.012979763620333,48.20684696854946,Upgrading_tech1,60000000,92.60121676943754,43.69592899836637,13.771646368455936,35.187944192860606,5.886290554638134,0.201853712486729
J,10.437869887108333,47.704819746780906,Upgrading_tech1,60000000,71.50632530693822,43.69592899836637,13.557446887750231,34.116946789332076,6.675667907286266,0.16886502233979206
G,12.570237543965584,47.93100019401797,Upgrading_tech1,60000000,63.434902641053014,43.69592899836637,13.528074872168428,33.970086711423065,7.122460363493818,0.1560006151768083
C,12.256253982579375,49.28272065881865,Upgrading_tech1,60000000,52.77341958822717,43.69592899836637,13.630089624352216,34.480160472342,8.10024913757011,0.13871503349331427
K,11.34184774305326,47.79827729901043,Upgrading_tech1,60000000,47.6920126017972,43.69592899836637,13.565192638900509,34.15567554508347,8.253785295718767,0.1303298132621682
I,13.304323733731383,48.591362333233874,Upgrading_tech1,60000000,33.089449012088764,43.69592899836637,13.542243563416626,34.040930167664044,8.77798238596729,0.1055212164014303
A,10.426031180937702,49.76345010396675,FlexEEG_biogas,60000000,32.675868380697445,34.32296261280164,6.734057529883816,33.069727842017684,6.0271805246961865,0.12012142578060092
T,10.49206911072586,48.25246076615605,Upgrading_tech1,40000000,28.45980736451844,33.578186320698734,9.381391955768715,22.9157502777856,5.20090927178222,0.1123465057343831
D,11.29787629540125,48.43108917943932,FlexEEG_biogas,60000000,25.683126692898878,34.32296261280164,6.734057529883816,32.2349493136541,6.051769866636851,0.10483614773682626
S,12.518684972280344,48.58883272838263,FlexEEG_biogas,60000000,25.071019595814708,34.32296261280164,6.734057529883816,31.98418661049692,5.961851582574616,0.10347359431008507
F,11.84761918143194,50.12888374474623,Upgrading_tech1,40000000,21.199594667799488,33.578186320698734,9.348326672757302,22.750423862728535,5.574607537217172,0.09581896882570606
B,11.74633195740246,48.850419897877885,FlexEEG_biogas,60000000,20.942031321233575,34.32296261280164,6.734057529883816,32.073495328515975,6.278048325848861,0.09416141601068473
O,10.115536474374528,50.23689430528555,FlexEEG_biogas,60000000,14.491951683026073,34.32296261280164,6.734057529883816,33.13024486658052,7.247261116596225,0.07911789433538585
H,10.484612644812955,49.29723527845827,Upgrading_tech1,20000000,6.786062953269315,21.533097764752856,4.954056253696732,11.329603483750756,2.4173137663286317,0.07021143570540778
