Longitude,Latitude,Location
13.228691973085956,48.73775609375669,Plant_0
10.69988070162691,48.45608344973316,Plant_1
10.543127814484595,50.18801391968502,Plant_2
12.349850287023553,47.99001321680997,Plant_3
12.322741008078262,49.21295142474637,Plant_4
11.624996397162965,50.188788356681975,Plant_5
11.365363387364361,47.84923514461541,Plant_6
11.265046491134294,49.53795495474674,Plant_7
12.520740973960281,48.530971049319625,Plant_8
11.628720469696539,48.70548934995199,Plant_9
9.574913760977026,49.97187532561818,Plant_10
10.70197865674334,49.11466778425548,Plant_11
10.446609748916421,47.80719218826787,Plant_12
10.38391664449529,49.672417818958756,Plant_13
12.053427710619951,49.748518591261565,Plant_14
