SupplyNode,PlantLocation,Feedstock,FlowTons,Distance_km,,,,,,,,,,,,,
CLUSTER_298,A,cattle_slu,19530,17.33000388,,,,,,,,,,,,,
CLUSTER_298,A,horse_man,591,17.33000388,,,,,,,,,,,,,
CLUSTER_30,A,cattle_man,5446.59,28.91280346,,,,,,,,,,,,,
CLUSTER_30,A,horse_man,478.27,28.91280346,,,,,,,,,,,,,
CLUSTER_30,A,pig_man,2280,28.91280346,,,,,,,,,,,,,
CLUSTER_310,A,horse_man,461.9999998,94.3134933,,,,,,,,,,,,,
CLUSTER_314,A,pig_man,452.226,39.2560466,,,,,,,,,,,,,
CLUSTER_317,A,cattle_man,11860,56.09084717,,,,,,,,,,,,,
CLUSTER_317,A,horse_man,217.4,56.09084717,,,,,,,,,,,,,
CLUSTER_320,A,horse_man,151.8,40.54114774,,,,,,,,,,,,,
CLUSTER_326,A,cattle_man,7270,53.72614986,,,,,,,,,,,,,
CLUSTER_326,A,horse_man,1285.4,53.72614986,,,,,,,,,,,,,
CLUSTER_326,A,pig_man,707.3,53.72614986,,,,,,,,,,,,,
CLUSTER_328,A,cattle_man,9120,47.39279566,,,,,,,,,,,,,
CLUSTER_328,A,horse_man,333.38,47.39279566,,,,,,,,,,,,,
CLUSTER_328,A,pig_man,824.57,47.39279566,,,,,,,,,,,,,
CLUSTER_332,A,cattle_man,620.3,53.73730734,,,,,,,,,,,,,
CLUSTER_332,A,horse_man,404.6,53.73730734,,,,,,,,,,,,,
CLUSTER_336,A,cattle_man,9570,34.6127577,,,,,,,,,,,,,
CLUSTER_336,A,horse_man,579.9,34.6127577,,,,,,,,,,,,,
CLUSTER_336,A,pig_man,552.236,34.6127577,,,,,,,,,,,,,
CLUSTER_347,A,cattle_man,674,38.4958019,,,,,,,,,,,,,
CLUSTER_347,A,pig_man,55.193,38.4958019,,,,,,,,,,,,,
CLUSTER_348,A,cattle_man,2194,9.647771692,,,,,,,,,,,,,
CLUSTER_348,A,cattle_slu,13760,9.647771692,,,,,,,,,,,,,
CLUSTER_348,A,horse_man,429,9.647771692,,,,,,,,,,,,,
CLUSTER_348,A,pig_man,264.2,9.647771692,,,,,,,,,,,,,
CLUSTER_361,A,cattle_man,4111.29,39.21711089,,,,,,,,,,,,,
CLUSTER_361,A,horse_man,200.3,39.21711089,,,,,,,,,,,,,
CLUSTER_361,A,pig_man,900,39.21711089,,,,,,,,,,,,,
CLUSTER_367,A,pig_man,1184.2,60.80396963,,,,,,,,,,,,,
CLUSTER_38,A,cattle_man,6536,18.44660086,,,,,,,,,,,,,
CLUSTER_38,A,cattle_slu,11030,18.44660086,,,,,,,,,,,,,
CLUSTER_38,A,horse_man,253.8,18.44660086,,,,,,,,,,,,,
CLUSTER_38,A,pig_man,315.61,18.44660086,,,,,,,,,,,,,
CLUSTER_381,A,cattle_man,4175.2,30.02442352,,,,,,,,,,,,,
CLUSTER_381,A,horse_man,1692.89,30.02442352,,,,,,,,,,,,,
CLUSTER_381,A,pig_man,167.133571,30.02442352,,,,,,,,,,,,,
CLUSTER_389,A,cattle_man,790.9,27.62370321,,,,,,,,,,,,,
CLUSTER_389,A,horse_man,483,27.62370321,,,,,,,,,,,,,
