SupplyNode,PlantLocation,Feedstock,FlowTons
DE_09678123,C,pig_man,133
DE_09678132,C,pig_man,38.2
DE_09678168,C,pig_man,57.1
DE_09678186,C,pig_man,106
DE_09678190,C,pig_man,111
DE_09678192,C,pig_man,26.9
DE_09678193,C,pig_man,186
DE_09679114,C,pig_man,102
DE_09679117,C,pig_man,63.3
DE_09679118,C,pig_man,59.9
DE_09679122,C,pig_man,134
DE_09679134,C,pig_man,203
DE_09679135,C,pig_man,252
DE_09679138,C,pig_man,165
DE_09679143,C,pig_man,237
DE_09679144,C,pig_man,26
DE_09679146,C,pig_man,61
DE_09679149,C,pig_man,92.5
DE_09679153,C,pig_man,397
DE_09679156,C,pig_man,181
DE_09679165,C,pig_man,118
DE_09679179,C,pig_man,40
DE_09679182,C,pig_man,320
DE_09679185,C,pig_man,236.4784602
DE_09679192,C,pig_man,187
DE_09679196,C,pig_man,96.4
DE_09679200,C,pig_man,41.6
DE_09679201,C,pig_man,399
DE_09679205,C,pig_man,71.7
DE_09176121,D,pig_man,44.5
DE_09176123,D,pig_man,58.76230346
DE_09176148,D,pig_man,23.5
DE_09176160,D,pig_man,321
DE_09185153,D,pig_man,47.2
DE_09571208,D,pig_man,311
DE_09571214,D,pig_man,161
DE_09577113,D,pig_man,218
DE_09577120,D,pig_man,76.6
DE_09577122,D,pig_man,686
DE_09577125,D,pig_man,97
DE_09577127,D,pig_man,52
DE_09577136,D,pig_man,166
DE_09577141,D,pig_man,111
DE_09577148,D,horse_man,146
DE_09577150,D,pig_man,55.3
DE_09577158,D,pig_man,108
DE_09577159,D,pig_man,23.6
DE_09577161,D,pig_man,326
DE_09577162,D,horse_man,26.78500404
DE_09577162,D,pig_man,38.6
DE_09577163,D,pig_man,79.6
DE_09577172,D,pig_man,75
DE_09577173,D,horse_man,491
DE_09577173,D,pig_man,518
DE_09577177,D,pig_man,353
DE_09773117,D,pig_man,770
DE_09779111,D,pig_man,90.7
DE_09779126,D,pig_man,34.7
DE_09779130,D,pig_man,54.8
DE_09779131,D,pig_man,411
DE_09779138,D,pig_man,502
DE_09779147,D,pig_man,180.1965269
DE_09779148,D,horse_man,34.7
DE_09779154,D,pig_man,33.2
DE_09779155,D,pig_man,488
DE_09779162,D,pig_man,134
DE_09779167,D,pig_man,544
DE_09779169,D,pig_man,174
DE_09779176,D,pig_man,58.7
DE_09779177,D,pig_man,346
DE_09779178,D,pig_man,22.3
DE_09779180,D,pig_man,172
DE_09779181,D,pig_man,57.3
DE_09779184,D,pig_man,431
DE_09779185,D,pig_man,788
DE_09779186,D,horse_man,814
DE_09779188,D,pig_man,96.7
DE_09779194,D,pig_man,606
DE_09779197,D,pig_man,423
DE_09779198,D,horse_man,37.5
DE_09779217,D,pig_man,285
DE_09779218,D,pig_man,139
DE_09779224,D,pig_man,806
DE_09779226,D,pig_man,94.8
DE_09779228,D,horse_man,661
DE_09779231,D,horse_man,439
DE_09171111,E,pig_man,169
DE_09171113,E,pig_man,33.2
DE_09171117,E,pig_man,222
DE_09171118,E,pig_man,118
DE_09171119,E,pig_man,280
DE_09171121,E,pig_man,29.8
DE_09171122,E,pig_man,62
DE_09171123,E,pig_man,67.2
DE_09171127,E,pig_man,78
DE_09171129,E,pig_man,141
DE_09171134,E,pig_man,63.6
DE_09171135,E,pig_man,481
DE_09172122,E,pig_man,39.7
DE_09175137,E,pig_man,45.7
DE_09177113,E,pig_man,446
DE_09177114,E,pig_man,197
DE_09177115,E,pig_man,760
DE_09177119,E,pig_man,72.8
DE_09177122,E,pig_man,75.3
DE_09177123,E,pig_man,194
DE_09177127,E,pig_man,78.9
DE_09177137,E,pig_man,350
DE_09177139,E,pig_man,488
DE_09183112,E,pig_man,275
DE_09183114,E,pig_man,333
DE_09183115,E,pig_man,110
DE_09183116,E,pig_man,104
DE_09183118,E,pig_man,113
DE_09183119,E,pig_man,56.3
DE_09183120,E,pig_man,176
DE_09183122,E,pig_man,113
DE_09183123,E,pig_man,61.7
DE_09183125,E,pig_man,139
DE_09183127,E,pig_man,354
DE_09183132,E,pig_man,92.1
DE_09183134,E,pig_man,221
DE_09183135,E,pig_man,80
DE_09183138,E,pig_man,67.6
DE_09183140,E,pig_man,115
DE_09183143,E,pig_man,47.3
DE_09183151,E,pig_man,107
DE_09187113,E,horse_man,927
DE_09187113,E,pig_man,28.4
DE_09187150,E,pig_man,21.9
DE_09187159,E,pig_man,63.8
DE_09189111,E,pig_man,301
DE_09189115,E,pig_man,453
DE_09189118,E,pig_man,144
DE_09189126,E,horse_man,223
DE_09189126,E,pig_man,290
DE_09189133,E,horse_man,424
DE_09189133,E,pig_man,104
DE_09189137,E,horse_man,248.985004
DE_09189142,E,horse_man,827
DE_09189142,E,pig_man,295
DE_09189149,E,pig_man,301
DE_09189154,E,pig_man,178
DE_09189157,E,pig_man,441
DE_09274118,E,pig_man,31.9
DE_09274120,E,pig_man,260
DE_09274154,E,pig_man,516
DE_09274183,E,pig_man,557
DE_09274193,E,pig_man,225
DE_09277133,E,pig_man,100
DE_09277134,E,pig_man,56.7
DE_09277151,E,pig_man,268.1588303
DE_09463000,F,pig_man,60
DE_09471123,F,pig_man,32.25883034
DE_09471142,F,pig_man,84
DE_09471159,F,pig_man,40
DE_09471165,F,pig_man,106
DE_09471174,F,pig_man,334
DE_09471185,F,pig_man,396
DE_09471189,F,pig_man,65.9
DE_09471191,F,pig_man,72.8
DE_09471195,F,pig_man,55
DE_09471214,F,pig_man,141
DE_09472115,F,pig_man,88.7
DE_09472154,F,pig_man,252
DE_09473112,F,horse_man,123
DE_09473112,F,pig_man,177
DE_09473121,F,pig_man,258
DE_09473132,F,horse_man,83.9
DE_09473132,F,pig_man,758
DE_09473134,F,pig_man,182
DE_09473138,F,horse_man,396
DE_09473138,F,pig_man,35.3
DE_09473141,F,pig_man,40.9
DE_09473144,F,pig_man,1000
DE_09473151,F,pig_man,820
DE_09473153,F,horse_man,401
DE_09473153,F,pig_man,61.3
DE_09473158,F,pig_man,141
DE_09473159,F,pig_man,194
DE_09473165,F,pig_man,478
DE_09473166,F,pig_man,362
DE_09473170,F,horse_man,446
DE_09473170,F,pig_man,218
DE_09473174,F,pig_man,151
DE_09473175,F,pig_man,31.2
DE_09476145,F,pig_man,70.2
DE_09476146,F,pig_man,331
DE_09476154,F,pig_man,82.6
DE_09476185,F,pig_man,24.7
DE_09477124,F,pig_man,153
DE_09477128,F,pig_man,346
DE_09477136,F,pig_man,275
DE_09477157,F,pig_man,225
DE_09477164,F,pig_man,129
DE_09478120,F,pig_man,126
DE_09478139,F,horse_man,487.085004
DE_09478139,F,pig_man,25.7
DE_09478144,F,pig_man,25
DE_09478155,F,pig_man,107
DE_09478165,F,horse_man,713
DE_09478165,F,pig_man,392
DE_09673141,F,pig_man,515
DE_09673172,F,pig_man,91.8
DE_09673174,F,pig_man,74.1
DE_09674111,F,pig_man,77
DE_09674130,F,pig_man,243
DE_09674149,F,pig_man,746
DE_09674159,F,pig_man,125
DE_09674164,F,pig_man,228
DE_09674171,F,pig_man,24.6
DE_09674184,F,pig_man,244
DE_09674210,F,pig_man,194
DE_09674221,F,pig_man,183
DE_09263000,G,pig_man,173
DE_09271111,G,pig_man,132
DE_09271113,G,pig_man,91.4
DE_09271118,G,pig_man,257
DE_09271122,G,horse_man,301
DE_09271128,G,pig_man,188
DE_09271130,G,horse_man,62.4
DE_09271135,G,pig_man,30.4
DE_09271138,G,pig_man,131
DE_09271140,G,pig_man,59.3
DE_09271141,G,pig_man,469
DE_09271148,G,horse_man,667
DE_09271151,G,pig_man,165
DE_09271152,G,pig_man,95.4
DE_09271153,G,pig_man,270
DE_09272116,G,pig_man,45.3
DE_09275112,G,pig_man,97.9
DE_09275114,G,pig_man,612
DE_09275117,G,pig_man,416
DE_09275119,G,pig_man,67.7
DE_09275138,G,pig_man,1010
DE_09275146,G,pig_man,74.2
DE_09275154,G,pig_man,312
DE_09276116,G,horse_man,658
DE_09276122,G,pig_man,51.6
DE_09276138,G,horse_man,210.585004
DE_09276146,G,horse_man,751
DE_09277111,G,pig_man,152
DE_09277117,G,pig_man,189
DE_09277126,G,pig_man,79.2
DE_09277142,G,pig_man,356
DE_09278112,G,pig_man,72.4
DE_09278117,G,pig_man,20.3
DE_09278118,G,pig_man,338
DE_09278121,G,pig_man,314
DE_09278139,G,pig_man,101
DE_09278141,G,pig_man,68.5
DE_09278146,G,pig_man,506
DE_09278149,G,pig_man,29.6
DE_09278159,G,pig_man,316
DE_09278167,G,pig_man,344
DE_09278170,G,pig_man,46.3
DE_09278182,G,pig_man,79.7
DE_09278189,G,pig_man,33.4
DE_09278190,G,pig_man,215
DE_09278192,G,pig_man,77.3
DE_09279113,G,pig_man,757
DE_09279122,G,pig_man,904
DE_09279125,G,pig_man,172.9588303
DE_09279132,G,pig_man,227
DE_09279137,G,pig_man,1170
DE_09372144,G,pig_man,31.5
DE_09372151,G,pig_man,103
DE_09372155,G,pig_man,24.7
DE_09372164,G,pig_man,217
DE_09471128,H,pig_man,215
DE_09575122,H,pig_man,1020
DE_09575127,H,pig_man,31.9
DE_09575130,H,pig_man,546
DE_09575134,H,pig_man,467
DE_09575144,H,pig_man,28.6
DE_09575146,H,pig_man,719
DE_09575155,H,pig_man,493
DE_09575157,H,pig_man,32.6
DE_09575161,H,pig_man,203
DE_09575165,H,pig_man,597
DE_09575168,H,pig_man,1500
DE_09575179,H,pig_man,142
DE_09663000,H,horse_man,217.385004
DE_09674163,H,pig_man,145.6376965
DE_09675111,H,pig_man,45.7
DE_09675113,H,horse_man,395
DE_09675113,H,pig_man,170
DE_09675114,H,horse_man,178
DE_09675116,H,pig_man,74
DE_09675117,H,horse_man,171
DE_09675117,H,pig_man,1390
DE_09675131,H,horse_man,669
DE_09675131,H,pig_man,22.7
DE_09675139,H,pig_man,1090
DE_09675141,H,pig_man,123
DE_09675142,H,pig_man,110
DE_09675144,H,horse_man,443
DE_09675146,H,pig_man,120
DE_09675147,H,pig_man,160
DE_09675150,H,pig_man,226
DE_09675158,H,pig_man,344
DE_09675161,H,horse_man,78.5
DE_09675165,H,horse_man,158
DE_09675166,H,horse_man,26.7
DE_09675166,H,pig_man,21.8
DE_09675167,H,pig_man,125
DE_09675174,H,pig_man,57.6
DE_09675177,H,pig_man,95.2
DE_09675178,H,pig_man,53.7
DE_09675179,H,pig_man,29.4
DE_09678122,H,pig_man,124
DE_09678134,H,pig_man,68.3
DE_09678138,H,pig_man,13.59959402
DE_09678150,H,pig_man,307
DE_09678164,H,pig_man,94.9
DE_09678183,H,pig_man,64.9
DE_09679131,H,pig_man,237
DE_09679170,H,pig_man,133
DE_09679174,H,pig_man,129
DE_09679175,H,horse_man,46.4
DE_09679185,H,horse_man,142
DE_09679185,H,pig_man,122.5215398
DE_09679193,H,horse_man,125
DE_09174147,I,horse_man,570
DE_09174147,I,pig_man,40.8
DE_09176111,I,pig_man,151
DE_09176118,I,pig_man,107
DE_09176123,I,pig_man,114.2376965
DE_09176129,I,pig_man,140
DE_09176153,I,pig_man,311
DE_09178115,I,pig_man,33.4
DE_09178116,I,pig_man,38
DE_09178122,I,pig_man,141
DE_09178125,I,pig_man,309
DE_09178132,I,pig_man,304
DE_09178133,I,pig_man,124
DE_09178137,I,pig_man,65.2
DE_09178140,I,pig_man,69.6
DE_09178142,I,pig_man,117
DE_09178144,I,pig_man,127
DE_09178150,I,pig_man,34.9
DE_09178155,I,pig_man,101
DE_09178156,I,pig_man,281
DE_09185113,I,horse_man,185
DE_09185113,I,pig_man,123
