PlantLocation,Alternative,Capacity,Omega,N_CH4,CO2_Production,Revenue,Cost,Capex,GHG,FLH,PlantLatitude,PlantLongitude,EEG_Revenue,Spot_Revenue,Heat_Revenue,Bonus
A,Upgrading_tech1,4000000,2745029.678010793,1687404.5444298722,1057625.1335809208,599778.673131543,784505.7916619924,7057508.513071505,704968.7302970011,6011.614994843637,48.60531968542862,13.350030147895405,0,0,0,0
B,Upgrading_tech1,4000000,2860096.886361285,1687404.5444298745,1172692.3419314106,610122.7227854885,784505.7916619926,7057508.513071505,704968.7302970011,6263.612181131215,50.11543881182247,10.73483406874872,0,0,0,0
C,Upgrading_tech1,4000000,2942760.6464782464,1687404.5444298722,1255356.1020483742,617553.8410987719,784505.7916619924,7057508.513071505,704968.7302971273,6444.645815787359,48.028767926825765,10.501726634635483,0,0,0,0
D,Upgrading_tech1,4000000,2744170.137515933,1687404.5444298722,1056765.5930860606,599701.4041190601,784505.7916619924,7057508.513071505,704968.7302970011,6009.732601159893,48.994021890767264,11.930054070441624,0,0,0,0
E,Upgrading_tech1,4000000,2783355.6717615924,1687404.5444298738,1095951.1273317186,603224.0159714203,784505.7916619926,7057508.513071505,704968.7302970011,6095.548921157887,48.27042919491146,12.019069415072051,0,0,0,0
F,Upgrading_tech1,4000000,2883960.3093656255,1687404.5444298722,1196555.7649357533,612267.9424011253,784505.7916619924,7057508.513071505,704968.7302970011,6315.873077510721,49.85954311885126,12.048137529824446,0,0,0,0
G,Upgrading_tech1,4000000,2748445.8041370916,1687404.5444298745,1061041.259707217,600085.7682525693,784505.7916619926,7057508.513071505,704968.730297001,6019.0963110602315,48.74387513071648,10.774690848063164,0,0,0,0
H,Upgrading_tech1,4000000,2744386.649970678,1687404.5444298745,1056982.1055408036,599720.8676622768,784505.7916619926,7057508.513071505,704968.7302970011,6010.206763435785,49.434322404003495,10.361339923973931,0,0,0,0
I,Upgrading_tech1,4000000,2943112.194548761,1687404.544429872,1255707.650118889,617585.4437660234,784505.7916619924,7057508.513071505,704968.7302970011,6445.415706061786,49.17956011355381,12.611490815302624,0,0,0,0
J,Upgrading_tech1,4000000,2878479.302481869,1687404.5444298747,1191074.758051994,611775.2233357029,784505.7916619926,7057508.513071505,704968.7302970011,6303.869672435293,50.26422517679616,10.03673675817306,0,0,0,0
K,Upgrading_tech1,4000000,2942185.105387491,1687404.5444298722,1254780.560957619,617502.1024174739,784505.7916619924,7057508.513071505,704968.7302970011,6443.385380798605,47.85138343158165,12.65805978531181,0,0,0,0
L,Upgrading_tech1,4000000,2884188.538173108,1687404.5444298722,1196783.9937432357,612288.4591943182,784505.7916619924,7057508.513071505,704968.7302970011,6316.3728985991065,50.21356052860746,11.352295185057468,0,0,0,0
M,Upgrading_tech1,4000000,2726484.7974709496,1687404.5444298475,1039080.2530411021,598111.5677252325,784505.7916619899,7057508.513071505,704968.7302970011,5971.001706461379,48.604846795038114,11.599861735909355,0,0,0,0
N,Upgrading_tech1,4000000,2811512.259512075,1687404.5444298745,1124107.7150822007,605755.1727271273,784505.7916619926,7057508.513071505,704968.7302970011,6157.211848331445,49.8389275993595,10.125960041566334,0,0,0,0
O,Upgrading_tech1,4000000,2967524.942190012,1687404.5444298745,1280120.3977601374,619780.0453159385,784505.7916619926,7057508.513071505,704968.7302970011,6498.879623396126,47.90563789717115,11.316325953630654,0,0,0,0
P,Upgrading_tech1,4000000,2866136.6178190117,1687404.5444298745,1178732.0733891372,610665.6687993079,784505.7916619926,7057508.513071505,704968.7302970011,6276.839193023635,48.42372173094734,10.445577584194478,0,0,0,0
Q,Upgrading_tech1,4000000,2972777.466747899,1687404.5444298722,1285372.922318027,620252.2247979497,784505.7916619924,7057508.513071505,704968.7302970012,6510.382652177899,47.63537708936969,10.994180309015851,0,0,0,0
R,Upgrading_tech1,4000000,2817883.344872881,1687404.5444298745,1130478.8004430067,606327.9060389581,784505.7916619926,7057508.513071505,704968.7302970011,6171.16452527161,48.88571010292042,13.073217175173024,0,0,0,0
S,Upgrading_tech1,4000000,2755548.854870229,1687404.5444298745,1068144.3104403545,600724.3021192709,784505.7916619926,7057508.513071505,704968.7302970011,6034.651992165801,48.26123039524214,12.649589276506946,0,0,0,0
T,Upgrading_tech1,4000000,2870492.382803965,1687404.5444298745,1183087.8383740904,611057.2334329786,784505.7916619926,7057508.513071505,704968.7302970011,6286.378318340683,49.08005078872701,11.311522672898777,0,0,0,0
U,Upgrading_tech1,4000000,2737871.537330562,1687404.544429872,1050466.9929006898,599135.1869143341,784505.7916619923,7057508.513071505,704968.7302970011,5995.938666753931,48.67181214932641,12.480649731741009,0,0,0,0
V,Upgrading_tech1,4000000,2882283.523954671,1687404.5444298747,1194878.9795247961,612117.2065677077,784505.7916619926,7057508.513071505,704968.7302970011,6312.200917460729,49.886106796443975,9.385288590197932,0,0,0,0
W,Upgrading_tech1,4000000,2972493.4475704073,1687404.5444298722,1285088.903140535,620226.6926892214,784505.7916619924,7057508.513071505,704968.7302970011,6509.760650179192,47.62381125769669,10.251682570624354,0,0,0,0
X,Upgrading_tech1,4000000,2820668.240209257,1687404.5444298724,1133263.6957793848,606578.2562130296,784505.7916619926,7057508.513071505,704968.7302970024,6177.263446058274,49.1890295257025,10.75202925839228,0,0,0,0
Y,Upgrading_tech1,4000000,2806153.7057744404,1687404.5444298745,1118749.161344566,605273.46167556,784505.7916619926,7057508.513071505,704968.7302970011,6145.476615646025,48.282155188818855,11.077143559327489,0,0,0,0
Z,Upgrading_tech1,4000000,2929992.0412357207,1687404.5444298715,1242587.4968058493,616405.9981247938,784505.7916619924,7057508.513071505,704968.7302970012,6416.682570306228,49.528592783598505,11.46872709155732,0,0,0,0
AA,Upgrading_tech1,4000000,2969401.577477127,1687404.5444298722,1281997.0330472547,619948.7467980592,784505.7916619924,7057508.513071505,704968.7302970011,6502.989454674908,47.83989277822895,11.92904082542142,0,0,0,0
AB,Upgrading_tech1,4000000,2912357.5555493077,1687404.5444298729,1224953.0111194348,614820.7333201899,784505.7916619924,7057508.513071505,704968.7302970011,6378.063046652984,50.16568030911025,11.87194195687968,0,0,0,0
AC,Upgrading_tech1,4000000,2899772.805753647,1687404.5444298745,1212368.2613237724,613689.4181641617,784505.7916619926,7057508.513071505,704968.7302970011,6350.502444600486,49.757790120651904,10.84436913144153,0,0,0,0
AD,Upgrading_tech1,4000000,2866883.6101947343,1687404.5444298745,1179479.0657648598,610732.8202174779,784505.7916619926,7057508.513071505,704968.7302970011,6278.475106326468,49.48754306069416,12.172293147515145,0,0,0,0
