PlantLocation,Longitude,Latitude,Alternative,Capacity,NPV_EUR,CAPEX_EUR,OPEX_EUR,Methane,Feed_Trans_Cost
AN,12.213681714889896,48.2092284345632,Upgrading_tech1,60000000,99.94068124936062,43.69592899836637,13.748049550278644,35.06996010197413,5.341536547694513
H,10.35970111727858,47.978457086577,Upgrading_tech1,60000000,75.66879821151836,43.69592899836637,13.585564490324998,34.25753480220591,6.480959153854056
AM,12.549189117642596,49.287805705279375,Upgrading_tech1,60000000,62.48422058154654,43.69592899836637,13.606881324700701,34.36411897408443,7.401545044228437
AR,11.099518361586638,47.75832549380255,Upgrading_tech1,60000000,58.656115566297615,43.69592899836637,13.55137435987959,34.08658414997887,7.498998656742289
AF,12.552803254705548,48.00783605495268,Upgrading_tech1,60000000,54.451881943463476,43.69592899836637,13.527415457803198,33.96678963959691,7.707885370317097
AQ,11.731927416848176,49.89652867732957,Upgrading_tech1,60000000,44.63897086221519,43.69592899836637,13.616017528220219,34.40979999168201,8.593278990039419
AC,10.211140724021703,49.817429363050096,FlexEEG_biogas,60000000,30.298421406402344,34.32296261280164,6.734057529883816,32.59399385725451,5.9360971981004695
Y,13.5092290989041,48.70667659874395,Upgrading_tech1,40000000,29.359036367505524,33.578186320698734,9.40712018359326,23.04439141690833,5.212948684994912
AB,12.070412181982892,48.44903184509447,FlexEEG_biogas,60000000,28.573912875463378,34.32296261280164,6.734057529883816,32.196085476401414,5.842655331388799
V,11.032914234703998,48.61203773942329,FlexEEG_biogas,60000000,27.14323245282058,34.32296261280164,6.734057529883816,32.43396705939885,6.059440895702576
J,12.850590060569749,48.72524943192535,FlexEEG_biogas,60000000,25.187412072082424,34.32296261280164,6.734057529883816,32.12069339231055,6.024974009650694
N,11.904039546731438,48.82766910543982,FlexEEG_biogas,60000000,19.546460620619897,34.32296261280164,6.734057529883816,32.02046405593382,6.341801696980504
AS,10.19397072442837,47.563304756175135,Upgrading_tech1,20000000,9.565824016541995,21.533097764752856,5.013452780846826,11.62658611950123,2.3990998424185976
AP,10.894232468798991,49.21046626100264,Upgrading_tech1,40000000,8.503211387363535,33.578186320698734,9.354029421628429,22.778937607084174,6.307890056551943
D,9.934459418980095,50.22079874592364,Upgrading_tech1,20000000,2.4557382061676662,21.533097764752856,4.950705925794009,11.31285184423714,2.63844721041834
W,10.359439625777725,48.32157492035327,Upgrading_tech1,20000000,1.674149154251218,21.533097764752856,5.018505464124083,11.651849535887514,2.928905243968574
